"Date","BAC","C","JPM","WFC","GS","MS","AXP","COF","USB","FITB","XOM","CVX","COP","EOG","OXY","SLB","HAL","BKR","MRO","XEC","AAPL","MSFT","GOOGL","GOOG","AMZN","FB","TSLA","NVDA","ADBE","INTC","ABBV","ABT","AMGN","ANTM","BIIB","BMY","CI","CVS","GILD","ISRG","BA","CAT","CSX","DE","DHR","EMR","ETN","FDX","GD","GE"
2018-01-02,29.8999996185303,74.3600006103516,107.949996948242,61.0900001525879,255.669998168945,52.189998626709,98.9400024414062,99.6100006103516,54.0299987792969,30.4300003051758,85.0299987792969,127.580001831055,55.3199996948242,109.300003051758,73.9800033569336,69.5199966430664,49.6100006103516,32.2299995422363,17.3799991607666,125.51000213623,172.259994506836,85.9499969482422,1073.2099609375,1065,1189.01000976562,181.419998168945,320.529998779297,199.350006103516,177.699996948242,46.8499984741211,98.4100036621094,58.7900009155273,177,226,334.170013427734,61.310001373291,202.559997558594,73.5199966430664,74.0999984741211,375.25,296.839996337891,157.039993286133,56.3400001525879,158.009994506836,92.4400024414062,70.7399978637695,78.8600006103516,257.600006103516,200.490005493164,17.2884616851807
2018-01-03,29.7999992370605,74.5899963378906,108.059997558594,61.560001373291,253.289993286133,52.3300018310547,99.5500030517578,99.4400024414062,54.560001373291,30.5200004577637,86.6999969482422,128.509994506836,56.3400001525879,110.930000305176,75,71.3300018310547,50.5,33.5299987792969,17.6700000762939,126.199996948242,172.229995727539,86.3499984741211,1091.52001953125,1082.47998046875,1204.19995117188,184.669998168945,317.25,212.470001220703,181.039993286133,45.2599983215332,99.9499969482422,58.9199981689453,180.339996337891,229.149993896484,339.850006103516,61.3600006103516,205.960006713867,73.1999969482422,74.6600036621094,383.820007324219,297.799987792969,157.279998779297,57.0499992370605,158.729995727539,93.6699981689453,71.3899993896484,81.6399993896484,260.820007324219,201.740005493164,17.4519233703613
2018-01-04,30.1900005340576,75.5100021362305,109.040000915527,62.3300018310547,256.829986572266,53.1300010681152,100.849998474121,101.419998168945,54.9799995422363,30.6299991607666,86.8199996948242,128.110000610352,56.9900016784668,110.949996948242,74.9599990844727,73.0999984741211,51.6300010681152,34.6300010681152,18.1200008392334,128.660003662109,173.029998779297,87.1100006103516,1095.76000976562,1086.40002441406,1209.58996582031,184.330001831055,314.619995117188,213.589996337891,183.220001220703,44.4300003051758,99.379997253418,58.8199996948242,179.580001831055,230.210006713867,339.989990234375,61.75,207.039993286133,75.129997253418,73.9000015258789,376.920013427734,296.670013427734,159.440002441406,56.7799987792969,159.639999389648,94.120002746582,71.4899978637695,80.7699966430664,264.880004882812,205.210006713867,17.8173084259033
2018-01-05,30.3299999237061,75.4100036621094,108.339996337891,62.75,255.520004272461,53.1100006103516,101.080001831055,101.430000305176,55.3199996948242,30.7099990844727,86.75,127.900001525879,56.8800010681152,112.169998168945,74.5500030517578,73.5999984741211,51.8199996948242,34.439998626709,17.8899993896484,127.819999694824,175,88.1900024414062,1110.2900390625,1102.22998046875,1229.14001464844,186.850006103516,316.579986572266,215.399993896484,185.339996337891,44.7400016784668,101.110000610352,58.9900016784668,180.649993896484,234.339996337891,342.489990234375,61.8899993896484,210.550003051758,78.4499969482422,74.5199966430664,379.010009765625,308.839996337891,161.960006713867,57.7200012207031,160.320007324219,94.7099990844727,72.4300003051758,81.3899993896484,265.920013427734,204.699996948242,17.8269233703613
2018-01-08,30.1200008392334,74.5299987792969,108.5,62.0400009155273,251.809997558594,52.8899993896484,100.150001525879,100.800003051758,55.4000015258789,30.7000007629395,87.1399993896484,128.529998779297,57.4599990844727,112.709999084473,75.1900024414062,74.8000030517578,52.2900009155273,34.5099983215332,17.9699993133545,128.240005493164,174.350006103516,88.2799987792969,1114.2099609375,1106.93994140625,1246.86999511719,188.279998779297,336.410003662109,222,185.039993286133,44.7400016784668,99.4899978637695,58.8199996948242,180.600006103516,231.820007324219,329.649993896484,61.9099998474121,208.220001220703,77.7699966430664,74.4000015258789,391.859985351562,310.149993896484,166.029998779297,58.7400016784668,161.110000610352,95.25,72.1999969482422,82.0299987792969,268.660003662109,204.699996948242,17.5769233703613
2018-01-09,30.2700004577637,75.3099975585938,109.050003051758,62.2599983215332,253.940002441406,53.2999992370605,100.519996643066,101.690002441406,55.7799987792969,31.25,86.7699966430664,127.839996337891,57.9300003051758,111.709999084473,74.8899993896484,74.9000015258789,52.1100006103516,35.0299987792969,18.0499992370605,127.610000610352,174.330001831055,88.2200012207031,1112.7900390625,1106.26000976562,1252.69995117188,187.869995117188,333.690002441406,221.940002441406,186.699996948242,43.6199989318848,100.23999786377,58.9199981689453,183.380004882812,234.660003662109,336.359985351562,61.8499984741211,207.869995117188,77.6900024414062,78.0999984741211,397.600006103516,318.429992675781,166.429992675781,59.2599983215332,165.600006103516,98.6100006103516,72.3199996948242,81.9800033569336,267.75,205.880004882812,17.8461532592773
2018-01-10,30.5499992370605,75.6500015258789,110.25,63.1199989318848,254.330001831055,53.9300003051758,101.220001220703,103.139999389648,56.2000007629395,31.5799999237061,86.0800018310547,128.660003662109,57.6500015258789,112.01000213623,74.25,75.5999984741211,52.4700012207031,35.4700012207031,17.8999996185303,125.550003051758,174.289993286133,87.8199996948242,1110.14001464844,1102.60998535156,1254.32995605469,187.839996337891,334.799987792969,223.679992675781,187.110000610352,42.5,99.6900024414062,58.8300018310547,182.860000610352,233.889999389648,336.720001220703,62.0099983215332,207.089996337891,77.4400024414062,78.7099990844727,423.760009765625,320.260009765625,165.869995117188,58.4799995422363,164.940002441406,98.2399978637695,72.5899963378906,82.4700012207031,268.010009765625,204.75,18.2019233703613
2018-01-11,30.6599998474121,75.5599975585938,110.839996337891,63.0099983215332,255.130004882812,54.2000007629395,100.730003356934,104.419998168945,56.6800003051758,31.8600006103516,86.9300003051758,132.570007324219,59.1800003051758,115.139999389648,75.8199996948242,77.0500030517578,53.3300018310547,36.5,18.6000003814697,127.650001525879,175.279998779297,88.0800018310547,1112.05004882812,1105.52001953125,1276.68005371094,187.770004272461,337.950012207031,224.080001831055,188.919998168945,43.4099998474121,99.2699966430664,58.9500007629395,181.960006713867,235,333.070007324219,62.4700012207031,210.889999389648,79.0199966430664,79.0599975585938,421.369995117188,328.119995117188,169.199996948242,58.689998626709,167.460006713867,98.5899963378906,73.879997253418,83.9899978637695,271.190002441406,205.509994506836,18.2884616851807
2018-01-12,31.1900005340576,76.8399963378906,112.669998168945,62.5499992370605,257.029998779297,55.1199989318848,100.970001220703,105.430000305176,56.9799995422363,32.3499984741211,87.5199966430664,133.600006103516,60.0499992370605,115.699996948242,76.5299987792969,77.9700012207031,53.1399993896484,37.2000007629395,18.8199996948242,127.139999389648,177.089996337891,89.5999984741211,1130.65002441406,1122.26000976562,1305.19995117188,179.369995117188,336.220001220703,222.979995727539,195.050003051758,43.2400016784668,100.339996337891,58.8400001525879,185.039993286133,239.820007324219,335.950012207031,62.810001373291,213.389999389648,78.7799987792969,79.0199966430664,419.040008544922,336.209991455078,170.300003051758,59.25,169.300003051758,99.3899993896484,73.9100036621094,84.2399978637695,271.850006103516,210.589996337891,18.0384616851807
2018-01-16,31.2399997711182,77.1100006103516,112.269996643066,62.5,258.459991455078,54.5999984741211,100.339996337891,104.419998168945,57.1699981689453,32.2799987792969,86.9700012207031,132.009994506836,58.8400001525879,113.389999389648,75.2699966430664,77.1699981689453,52.1300010681152,36.2799987792969,18.2399997711182,125.830001831055,176.190002441406,88.3499984741211,1130.69995117188,1121.76000976562,1304.85998535156,178.389999389648,340.059997558594,220.110000610352,192.460006713867,43.1399993896484,102.48999786377,58.439998626709,185.539993286133,241.75,338.850006103516,59.9199981689453,214.75,79.4400024414062,80.25,420.070007324219,335.160003662109,169.309997558594,58.1300010681152,167.539993286133,99.4700012207031,72.8300018310547,83.3499984741211,269.579986572266,206.330001831055,17.509614944458
